aarde,aarde
abacus,abako
in,sa
abalone,abulon
abandon,layasan
abandoned,inabandunang
abandoning,iniiwan
abandonment,Pag-abandona
abase,humamak
abased,mabababa
abasement,pagpapababa
abash,tarantahin
abashed,napahiya at nalito
abate,humuglaw
abated,humupa
abatement,paghulaw
abattoir,katayan ng hayop
abbess,pryora
abbey,kumbento
abbot,pryor
abbreviate,paikliin
abbreviated,pinaikli
abbreviation,pagpapaikli
abbreviations,daglat
abdicate,magbitiw sa tungkulin
abdication,pagbibitiw sa tungkulin
abdomen,tiyan
abdominal,ng tiyan
abduct,umagaw
abducted,dinukot
abducting,pagdukot
abduction,pag-agaw
abductions,Pagdukot
abductor,mangangagaw
abeam,sa trabers ng
abed,isang kama
aberrant,nagkaligaw
aberration,pagkaligaw
abet,tumulong
abeyance,pagpapaliban
abhor,mapoot
abhorrence,poot
abhorrent,kasuklam-suklam
abide,tumahan
abideth,Nananahan
abiding,masunurin
Abijah,Abias
abilities,kakayahan
ability,abilidad
abject,kasuklam-suklam
abjure,magtakwil
ablation,pagputol
ablative,ablatibo
ablaze,naglalagablab
able,may kakayahan
abloom,namumulaklak
ablution,paghuhugas
ably,sanay
abnegation,pagpapakasakit
abnormality,kaalanganan
aboard,nakasakay
abode,tinitirahan
abolish,pawalang-bisa
abolished,abolisado
abolition,pagbibigay-wakas
abominable,kasuklam-suklam na
abominate,mapoot
abomination,pagkasuklam
abominations,karumaldumal
aboriginal,taal
abort,may pagpapalaglag
aborted,napaagang ipinanganak
aborting,hininto
abortion,pagpapalaglag
abortionist,labag sa batas na dalubhasa sa pagpapaanak
abortions,aborsiyon
abound,makapal
abounded,nanagana
abounding,masagana
abounds,tigib
about,tungkol sa
above,sa itaas
abrasion,hadhad
abrasive,nakasasakit
abreast,magkatabi
abridge,magpaikli
abridgement,pinaikling kabuuan
abridgment,pinaikling kabuuan
abroad,nasa ibang bansa
abrogate,magpawalang-bisa
abrogated,nagpawalang-bisa
abrogation,pagpapawalang-bisa
abrupt,bigla
abruptly,biglang
abruptness,pagkabigla
abscess,maga
abscissa,absisa
abscissas,abscissa
abscond,tumakas
absence,kawalan
absences,Pagliban
absent,wala
absentee,manliliban
absenteeism,pagliban
absentees,lumiban
absently,na lumilipad ang isip
absentminded,malayo ang isip
absentmindedness,pagkalibang sa ibang mga bagay
absolute,lubos
absolutely,walang pasubali
absoluteness,sariling katotohanan
absolution,pagpapawalang-sala
absolutism,absolutismo
absolutist,absolutista
absolutists,absolutista
absolve,magpawalang-sala
absorb,humithit
absorbed,hinihigop
absorbent,sumisipsip
absorbing,lubhang kaganyak-ganyak
absorbs,sumisipsip
absorption,pagsipsip
absorptive,sumisipsip
absorptivity,kaya ng pagsipsip
abstain,mag-abstinensya
abstained,umiwas
abstainer,mangingilin
abstaining,umiwas
abstemious,hindi masyado
abstinence,pangilin
abstinent,kainaman
abstracted,lumilipad ang isip
abstractedly,na lumilipad ang isip
abstruse,malabo
absurd,walang katotohanan
absurdity,kahangalan
absurdly,pabaligho
abundance,kasaganaan
abundant,masagana
abundantly,sagana
abus,isang bus
abuse,abuso
abused,aba
abuser,nang-aabuso
abusers,nang-aabuso
